name,position,class_year,school,external_id,scoring_date,draft_round,overall_pick,nfl_team,pass_play_usage,best_pass_play_usage,receiving_ppa,career_receiving_ppa,best_receiving_ppa,rushing_ppa,career_rushing_ppa,best_rushing_ppa,career_yprr,best_yprr,target_share,receiving_yard_share,age_at_draft,early_declare,ras,bmi,speed_score,recruiting_rating,conference_strength,scrimmage_yards_per_game,rushing_yard_share,yards_after_contact_per_attempt,missed_tackles_per_attempt,receptions_per_game,receiving_yprr
Ashton Jeanty,RB,2025,Boise St.,00-0040122,2025-04-30,1,6,LVR,0.054,0.136,0.342,0.7053333333333334,1.113,0.291,0.21866666666666665,0.291,,,,0.04368471035137702,21,,,31.15584961142617,,0.8496,65,210.69230769230768,0.7668042452830188,,,1.7692307692307692,
Omarion Hampton,RB,2025,North Carolina,00-0040666,2025-04-30,1,22,LAC,0.095,0.095,0.707,0.8663333333333333,1.397,0.224,0.16566666666666666,0.224,,,,0.12787110044566335,22,,,29.96971450617284,111.7076291317922,0.9456,85,169.41666666666666,0.6986531986531986,,,3.1666666666666665,
Quinshon Judkins,RB,2025,Ohio St.,00-0040784,2025-04-30,2,36,CLE,0.055,0.063,0.278,0.38566666666666666,0.725,0.25,0.17533333333333334,0.25,,,,0.03826045627376426,21,,,29.96971450617284,109.72616822458411,0.8804,100,101.75,0.39581777445855115,,,1.8333333333333333,
TreVeyon Henderson,RB,2025,Ohio St.,00-0040734,2025-04-30,2,38,NWE,0.07,0.074,0.451,0.52075,1.066,0.347,0.264,0.347,,,,0.06749049429657794,22,,,28.98081632653061,104.89781939490844,0.9872,100,108.33333333333333,0.3793876026885736,,,2.25,
RJ Harvey,RB,2025,Central Florida,00-0040730,2025-04-30,2,60,DEN,0.054,0.064,1.013,0.9026666666666666,1.013,0.398,0.015500000000000028,0.398,,,,0.11143572621035058,24,,,31.16673875432526,109.38887371081208,0.8356,65,153.66666666666666,0.5297279140073899,,,1.6666666666666667,
Kaleb Johnson,RB,2025,Iowa,00-0040142,2025-04-30,3,83,PIT,0.089,0.089,0.482,0.2323333333333333,0.482,0.22,0.03266666666666666,0.22,,,,0.10994152046783626,22,,,29.550009382623383,102.71011458343338,0.8889,100,143.75,0.594354215003867,,,1.8333333333333333,
Bhayshul Tuten,RB,2025,Virginia Tech,00-0040719,2025-04-30,4,104,JAX,0.071,0.104,0.137,0.408,0.692,0.238,0.19999999999999998,0.244,,,,0.032087733549959384,22,,,30.417559336273893,118.29386693442919,,,103.08333333333333,0.49742268041237114,,,1.8333333333333333,
Cam Skattebo,RB,2025,Arizona St.,00-0040715,2025-04-30,4,105,NYG,,,,,,,,,,,,,23,,,31.419795918367345,,,,,,,,,
Trevor Etienne,RB,2025,Georgia,00-0040644,2025-04-30,4,114,CAR,0.097,0.097,0.292,0.229,0.318,0.183,0.18899999999999997,0.205,,,,0.04908906882591093,21,,,29.236294896030245,103.75430091812777,0.9261,100,61.76923076923077,0.3464163822525597,,,2.4615384615384617,
Woody Marks,RB,2025,USC,00-0040583,2025-04-30,4,116,HOU,,,,,,,,,,,,,24,,,,,0.9369,,,,,,,
Jarquez Hunter,RB,2025,Auburn,00-0040692,2025-04-30,4,117,LAR,0.059,0.072,0.489,0.3655,0.923,0.261,0.21525,0.261,,,,0.048942216608778025,22,,,30.12224322621298,104.98524900435939,0.8685,100,113,0.6029116465863453,,,1.75,
Dylan Sampson,RB,2025,Tennessee,00-0040162,2025-04-30,4,126,CLE,0.055,0.055,0.306,0.6669999999999999,0.895,0.245,0.23199999999999998,0.245,,,,0.04973913043478261,20,,,30.406574394463668,,0.8881,100,136.16666666666666,0.5018512285425782,,,1.6666666666666667,
Jordan James,RB,2025,Oregon,00-0040177,2025-04-30,5,147,SFO,0.061,0.061,0.367,0.32866666666666666,0.519,0.336,0.35800000000000004,0.445,,,,0.053411704574495275,21,,,29.41122448979592,95.66173869205703,0.9224,80,113.53846153846153,0.5671441360787824,,,2,
Jaydon Blue,RB,2025,Texas,00-0040586,2025-04-30,5,149,DAL,0.092,0.092,0.57,0.574,0.578,0.102,-0.046000000000000006,0.102,,,,0.08344671201814059,21,,,,,0.9226,85,84.46153846153847,0.28537920250195464,,,3.230769230769231,
DJ Giddens,RB,2025,Kansas St.,00-0040179,2025-04-30,5,151,IND,0.064,0.075,0.634,0.6493333333333333,0.674,0.214,0.241,0.318,,,,0.09419496166484119,22,,,28.749228395061728,110.09078075109203,,85,133.41666666666666,0.47372134038800706,,,1.75,
Ollie Gordon,RB,2025,Oklahoma St.,00-0040198,2025-04-30,6,179,MIA,0.075,0.088,0.668,0.4876666666666667,0.668,0.137,0.12733333333333333,0.176,,,,0.06328715365239294,21,,,29.81384875211109,100.0771048903496,0.9125,85,88.25,0.6221899927483684,,,2.5,
